说明：题型编号，数据结构用J表示，数据库原理用K表示，网络用W表示，软件工程用R表示，操作系统用Z表示，应用基础用C表示，多媒体技术用D表示，硬件部分用Y表示，移动互联应用用H表示，S表示数据表示和计算，L表示离散数学，Q表示软件知识产权；C语言用1表示，C++语言用2表示，Java语言用3表示，JavaScript用4表示，C#用5表示；难度用0和1表示，0表示简单，1表示困难。,,,,,,,,
题号,题型,题目,A,B,C,D,答案,难度
195,C,计算机病毒是可以造成机器故障的一种(      ),计算机设备,计算机程序,计算机部件,计算机芯片,B,0
196,C,计算机病毒主要是造成（     ）破坏。 ,优盘,磁盘驱动器 ,硬盘　,程序和数据 ,D,0
197,C,计算机存储和处理数据的基本单位是（     ）。,bit ,Byte  ,GB,KB,A,0
198,C,计算机存储器的容量以字节为单位。一个字节由个二进制位组成。,1,2,8,16,C,0
199,C,计算机存储器是一种（     ）。 ,运算部件,输入部件　, 输出部件　,记忆部件 ,D,0
200,C,计算机的硬件主要包括:中央处理器(CPU)、存储器、输出设备和 (      ),键盘,鼠标器,输入设备,显示器,C,1
201,C,"计算机界常提到的""2000年问题""指的是（     ）。 ",计算机将在2000年大发展问题 ,计算机病毒将在2000年大泛滥问题 ,NC和PC将在2000年平起平坐的问题 ,有关计算机处理日期问题 ,D,1
202,C,计算机能够自动、准确、快速地按照人们的意图进行运行的最基本思想是（     ）。,采用超大规模集成电路 ,采用CPU作为中央核心部件,采用操作系统 ,存储程序和程序控制,D,1
203,C,计算机能直接执行的指令包括两部分，它们是（     ）。,源操作数与目标操作数,操作码与操作数,ASCII码与汉字代码 ,数字与字符 ,B,1
204,C,计算机软件系统可分为(      ),操作系统和语言处理程序,程序和数据,系统软件和应用软件,程序、数据和文档,C,1
205,C,计算机系统感染病毒以后会（     ）。,将立即不能正常运行      ,可能在表面上仍然在正常运行,将不能再重新启动     ,会立即毁坏,B,1
206,C,万维网WWW以（     ）方式提供世界范围的多媒体信息服务。,文本,信息 ,超文本 ,声音,C,0
207,C,网络分为总线网、环型网、星型网、树型网和网状网是根据（     ）分的。,网络拓扑结构,信息交换方式,通信介质,网络操作系统,A,0
208,C,"网上 ""黑客"" 是指(      )的人.",总在晚上上网,匿名上网,不花钱上网,在网上私闯他人计算机系统,D,0
209,C,网页文件中，能起到动画效果的图形格式是 (  ),JPEG,GIF,TIF,BMP,B,0
210,C,网页制作“三剑客”不包括（     ）。,Dreamweaver,Flash,Photoshop,Fireworks,C,0
211,C,网址字符的开头的“http”表示（     ）。 ,高级程序设计语言,域名,超文本传输协议,网址,C,0
212,C,微处理器又称为(      )。　　,运算器,控制器,逻辑器,中央处理器,D,0
213,C,微机病毒系指（     ）。 ,生物病毒感染, 细菌感染,被损坏的程序,特制的具有损坏性的小程序 ,D,0
214,C,微机的性能指标中的内存容量是指（     ）。 ,RAM的容量　,RAM和ROM的容量 ,软盘的容量　,ROM的容量 ,A,0
215,C,微机系统主要通过(      )与外部交换信息。,键盘,鼠标,显示器,输入输出设备,D,0
216,C,微机中，运算器的另一名称是(      ),算术运算单元,逻辑运算单元,加法器,算术逻辑单元,D,0
217,C,微机中，主机和高速硬盘进行数据交换，一般采用（     ）。 ,程序中断控制　,程序直接控制 ,DMA　,IOP ,C,0
218,C,微型计算机必不可少的输入/输出设备是(      ),键盘和显示器,键盘和鼠标器,显示器和打印机,鼠标器和打印机,A,0
219,C,微型计算机的发展是以什么的发展为特征的（     ）。 ,主机　,软件　, 微处理器　　,控制器 ,C,0
220,C,微型计算机的微处理器包括（     ）。 ,CPU和存储器　　,CPU和控制器 ,运算器和累加器　,运算器和控制器 ,D,0
221,C,微型计算机的性能主要由微处理器的（     ）决定。 ,质量　,控制器 , CPU　　　, 价格性能比 ,C,0
222,C,微型计算机的运算器、控制器及内存存储器的总称是（     ）。 ,CPU ,ALU , 主机 , MPU ,C,0
223,C,微型计算机系统包括(      ),主机和外设,硬件系统和软件系统,主机和各种应用程序,运算器、控制器和存储器,B,0
224,C,"为了保证任务栏任何时候在屏幕上可见，应在""任务栏属性""对话框的""任务栏选项""标签中选择（     ）。",不被覆盖 ,总在最前,自动隐藏 ,显示时钟,B,0
225,C,为了保证提供服务，因特网上的任何一台物理服务器(      )。,必须具有唯一的IP地址,必须具有计算机名,只能提供一种信息服务,不能具有多个域名,A,0
226,C,为了能在网络上正确地传送信息，制定了一整套关于传输顺序、格式、内容和方式的约定，称之为(      )。,OSI参考模型,网络操作系统,通信协议,网络通信软件,C,0
227,C,为了预防计算机病毒的感染，应当（     ）。,经常让计算机晒太阳   ,定期用高温对软盘消毒,对操作者定期体检      ,用抗病毒软件检查外来的软件,D,0
228,C,为了指导计算机网络的互联、互通和互操作，ISO颁布了OSI参考模型，其基本结构分为（     ）。,6层,5层,7层,4层,C,0
229,C,为网络提供共享资源并对这些资源进行管理的计算机称之为（     ）。,网卡,服务器,工作站 ,网桥,B,0
230,C,我国政府部门要建立WWW网站，其域名的后缀应该是（     ）。,com.au,gov.au　,gov.cn,net.cn,C,0
231,C,我们拨号上网时所用的被俗称为“猫”的设备是（     ）。,编码解码器,解调调制器,调制解调器 ,网络链接器,C,0
232,C,我们通常所说的“网络黑客”，他的行为主要是（     ）。,在网上发布不健信息 ,制造并传播病毒,攻击并破坏web网站,收看不健康信息,C,0
233,C,无论目前浏览的网页在何处，只要按一下下列哪一个按钮即可回到主页（     ）。,后退,前进,停止,主页,D,0
234,C,下不属于网络协议的有（     ）。,HTTP,FTP  ,TCP/IP,HTML,D,0
235,C,下列4项内容中，不属于Internet（因特网）提供的服务的是（     ）。,电子邮件 ,文件传输,远程登录,实时监测控制,D,0
236,C,下列不能作为存储器容量单位的是  (      ),Byte,KB,MIPS,GB,C,0
237,C,下列不属于Word窗口组成部分的是（     ）,标题栏,对话框,菜单栏,状态栏,B,0
238,C,下列不属于网络拓扑结构形式的是（     ）。,星形,环形,总线,分支,D,0
239,C,下列操作不能退出Word的是（     ）。,双击控制菜单框,使用控制菜单中的[关闭],使用[文件]菜单中的[关闭], 使用[文件]菜单中的[退出],C,0
240,C,下列措施中，（     ）不是减少病毒的传染和造成的损失的好办法。,重要的文件要及时、定期备份，使备份能反映出系统的最新状态,外来的文件要经过病毒检测才能使用，不要使用盗版软件,不与外界进行任何交流，所有软件都自行开发,定期用抗病毒软件对系统进行查毒、杀毒,C,1
241,C,下列带有通配符的文件名，能表示文件ABC.TXT的是（     ）。 ,*BC.? ,A?.* ,?BC.* ,?.? ,C,0
242,C,下列电子邮件地址中正确的是（     ）。 ,zhangsan&sina.com  ,lisi!126.com,zhang$san@qq.com,lisi_1982@sohu.com,D,0
243,C,下列各项中(      )不能控制幻灯片外观一致的方法。,母板,模板,背景,幻灯片视图,D,0
244,C,下列各项中，不属于多媒体硬件的是（     ）。 ,光盘驱动器　,视频卡 ,音频卡　,加密卡 ,D,0
245,C,下列关于Internet的说法，不正确的是（     ）。,Internet是目前世界上覆盖面最广、最成功的国际计算机网络,Internet的中文名称是“因特网”,Internet是一个物理网络,Internet在中国曾经有多个不同的名字,C,1
246,C,下列关于IP的说法错误的是（     ）。,IP地址在Internet上是唯一的 ,IP地址由32位十进制数组成,IP地址是Internet上主机的数字标识,IP地址指出了该计算机连接到哪个网络上,B,1
247,C,下列关于URL的解释错误的是（     ）。,它是一种网络服务,它的中文意思是统一资源定位器 ,它是WWW页的地址,它由4部分组成,A,0
248,C,下列关于个人计算机的说法：（     ）是正确的。,个人计算机必须安装在有空调的房间,个人计算机可以安装在一般家庭和办公室,个人计算机必须配备不间断电源,使用个人计算机时要每小时关机10分钟，以便散热,B,1
249,C,下列关于计算机病毒的说法中，正确的有：计算机病毒（     ）。,是磁盘发霉后产生的一种会破坏计算机的微生物,是患有传染病的操作者传染给计算机，影响计算机正常运行,有故障的计算机自己产生的、可以影响计算机正常运行的程序,人为制造出来的、干扰计算机正常工作的程序,D,1
250,C,下列关于局域网特点的叙述中，不正确的是（     ）。,局域网的覆盖范围有限 ,误码率高,有较高的传输速率,相对于广域网易于建立、管理、维护和扩展 ,B,1
251,C,下列关于数字化图书馆的论述中不正确的是（     ）。,是图书馆自动化的最高阶段,其关键技术是多媒体信息的数字载体,以多媒体数据库为基础 ,可以改变书中的内容,D,0
252,C,下列关于系统软件的四条叙述中，正确的一条是(      ),系统软件与具体应用领域无关,系统软件与具体硬件逻辑功能无关,系统软件是在应用软件基础上开发的,系统软件并不具体提供人机界面,A,1
253,C,下列描述中，不正确的是(      )。,用机器语言编写的程序可以由计算机直接执行,软件是指程序和数据的统称,计算机的运算速度与主频有关　,操作系统是一种应用软件,D,1
254,C,下列哪些计算机网络不是按覆盖地域划分的（     ）。,局域网,都市网,广域网,星型网,D,0
255,C,下列哪一个协议是Internet使用的协议？（     ）。,OSI参考模型中规定的传输层协议,传输控制/网间协议(TCP/IP),IEEE 802.3系列协议 ,帧中继传输协议,B,1
256,C,下列软件中，(      )是系统软件。,用C语言编写的求解一元二次方程的程序,工资管理软件,用汇编语言编写的一个练习程序,Windows操作系统,D,1
257,C,下列设备中，（    ）是输出设备。,键盘,鼠标,光笔,绘图仪,D,0
258,C,下列设备中，既能向主机输入数据又能接收由主机输出数据的设备是(      ),显示器,软磁盘存储器,扫描仪,CD-ROM,B,1
259,C,下列术语中，属于显示器性能指标的是(      ),速度,可靠性,分辨率,精度,C,0
260,C,"下列四项里,(      )是因特网的最高层域名.",edu,www,gov,cn,D,0
261,C,下列四项中，合法的IP地址是(      ),190.220.5,206.53.3.78,206.53.312.78,"123,43,82,220",B,0
262,C,下列选项中，不属于计算机病毒特征的是（     ）。 ,破坏性　, 潜伏性　 ,传染性　,免疫性,D,0
263,C,下列样式哪个选项可以删除(      ),标题,默认段落字体,用户定义的样式,正文,C,0
264,C,下列有关存储器读写速度的排列，正确的是（     ）。 ,RAM>Cache>硬盘>软盘 ,Cache>RAM>硬盘>软盘 ,Cache>硬盘>RAM>软盘 ,RAM>硬盘>软盘>Cache ,B,0
265,C,下列域名中，代表非营利组织的是（     ）。,.org,.edu ,.com ,.net,A,0
266,C,下列属于微机网络所特有的设备是(    )。,显示器,UPS电源,服务器,鼠标器,C,0
267,C,下面列出的计算机病毒传播途径，不正确的说法是（     ）。 ,使用来路不明的软件　, 通过借用他人的软盘,通过非法的软件拷贝,通过把多张软盘叠放在一起 ,D,0
268,C,下面列出的四种存储器中，易失性存储器是(      ),RAM,ROM,PROM,EPROM,A,0
269,C,下面哪个网络是Internet的最早雏形（     ）。,NSFNET,CERNET ,ARPANET,CSTNET,C,0
270,C,"下面有关计算机的叙述中,正确的是（     ）。 ",计算机的主机只包括CPU ,计算机程序必须装载到内存中才能执行 ,计算机必须具有硬盘才能工作 ,计算机键盘上字母键的排列方式是随机的 ,B,0
271,C,显示器分辨率一般表示为(      ),能显示的信息量,能显示多少个字符,能显示的颜色数,横向点乘以纵向点,D,0
272,C,现在Internet上的电子书籍多数采用PDF格式存储和传递，这种格式的文件是用（     ）软件来打开并阅读的。,Microsoft Office,Real Player  ,Adobe Reader ,ACDsee,C,0
273,C,想访问最近曾经访问过的网页用浏览器中哪个按钮（     ）。,搜索,收藏,历史,刷新,C,0
274,C,信息处理进入了计算机世界，实质上是进入了（     ）的世界。 ,模拟数字,十进制数 ,二进制数　,抽象数字 ,C,0
275,C,信息高速公路计划使计算机应用进入了（     ）的新的发展阶段。,以网络为中心    ,家用计算机,多媒体应用   ,图像处理,A,0
276,C,在Word中选择了文本后，按Del键将选择的文本(      ),删除并存入剪贴板,删除,不删除但存入剪贴板,按复制按钮可恢复,B,0
277,C,在Word中选择某一段文字后，把鼠标指针置于选中文本的任一位置，按鼠标左键拖到另一位置上放开鼠标。那么，该用户刚才的操作是（     ）。,移动文本 ,复制文本,替换文本,删除文本,A,0
278,C,要浏览网页，必须知道该网页的（     ）。,E-Mail ,邮政编码,网址 ,电话号码,C,0
279,C,在Excel中要删除某个工作表，在用鼠标右键单击该工作表标签后，在弹出快捷菜单中选择（     ）。,“删除工作表”命令,“删除”命令,“清除”命令,“隐藏”命令,B,0
